波数 (cm-1),反射率 (%)
1440.083,14.58784096
1440.565,14.57867689
1441.047,14.53556497
1441.529,14.51735691
1442.011,14.51143861
1442.493,14.50377215
1442.975,14.49872775
1443.457,14.48222368
1443.939,14.45665129
1444.422,14.44108236
1444.904,14.42808052
1445.386,14.40110464
1445.868,14.3785306
1446.35,14.37697737
1446.832,14.35674736
1447.314,14.32234326
1447.796,14.33779547
1448.279,14.31272463
1448.76,14.28856534
1449.243,14.26610883
1449.725,14.26134277
1450.207,14.25861784
1450.689,14.24258028
1451.171,14.22118775
1451.653,14.20384683
1452.135,14.19793524
1452.617,14.199724
1453.1,14.20497699
1453.582,14.17172837
1454.064,14.15517284
1454.546,14.1403887
1455.028,14.13098245
1455.51,14.10902356
1455.992,14.10631664
1456.474,14.09885724
1456.957,14.07806023
1457.439,14.05381013
1457.921,14.04566941
1458.403,14.06361288
1458.885,14.04202269
1459.367,14.04174533
1459.849,14.03106226
1460.331,14.03959544
1460.813,14.02657719
1461.296,14.01469803
1461.778,13.99144883
1462.26,13.99573177
1462.742,14.01606796
1463.224,14.00258219
1463.706,13.9771213
1464.188,13.98740057
1464.67,13.97810073
1465.153,13.96468466
1465.635,13.96923867
1466.117,13.96980061
1466.599,13.94321465
1467.081,13.92404419
1467.563,13.92543906
1468.045,13.92408583
1468.527,13.90064547
1469.01,13.91649482
1469.492,13.89176107
1469.974,13.90025381
1470.456,13.85750408
1470.938,13.89731984
1471.42,13.86172559
1471.902,13.84919719
1472.384,13.85031072
1472.866,13.87305847
1473.349,13.8529443
1473.831,13.87102145
1474.313,13.84389426
1474.795,13.88589415
1475.277,13.86862449
1475.759,13.8737242
1476.241,13.86206209
1476.723,13.87315431
1477.206,13.88044665
1477.688,13.88834908
1478.17,13.87500893
1478.652,13.89320249
1479.134,13.8937906
1479.616,13.88261495
1480.098,13.9097801
1480.58,13.89702098
1481.062,13.8933834
1481.544,13.90610333
1482.027,13.90565091
1482.509,13.89435337
1482.991,13.92891904
1483.473,13.91413692
1483.955,13.93170286
1484.437,13.93232197
1484.919,13.92449219
1485.401,13.93182203
1485.884,13.95446348
1486.366,13.94567616
1486.848,13.98999004
1487.33,13.97840142
1487.812,13.98853754
1488.294,14.00031084
1488.776,14.0364818
1489.258,14.0613103
1489.74,14.07269919
1490.223,14.09980398
1490.705,14.11246912
1491.187,14.12028792
1491.669,14.10763826
1492.151,14.14263189
1492.633,14.13851777
1493.115,14.14872812
1493.597,14.16666161
1494.08,14.16424097
1494.562,14.17991682
1495.044,14.21058024
1495.526,14.2216081
1496.008,14.24326773
1496.49,14.26727864
1496.972,14.29736492
1497.454,14.30813242
1497.937,14.33542795
1498.419,14.38758556
1498.901,14.35709109
1499.383,14.37912035
1499.865,14.42500692
1500.347,14.43565194
1500.829,14.43999838
1501.311,14.4437747
1501.793,14.46359834
1502.276,14.4693662
1502.758,14.47118245
1503.24,14.4960723
1503.722,14.51082682
1504.204,14.52777642
1504.686,14.56394679
1505.168,14.54969128
1505.65,14.60315389
1506.133,14.6264877
1506.615,14.63950005
